step,time_s,x_robot,y_robot,angulo_grados,action
260,8.32,-0.1472,0.259,-77.94,AVANZAR
261,8.352,-0.1466,0.2565,-77.94,AVANZAR
262,8.384,-0.1461,0.254,-77.94,AVANZAR
263,8.416,-0.1456,0.2515,-77.8,GIRANDO
264,8.448,-0.1456,0.2515,-78.08,AVANZAR
265,8.48,-0.145,0.249,-78.08,AVANZAR
266,8.512,-0.1445,0.2465,-78.08,AVANZAR
267,8.544,-0.144,0.244,-78.08,AVANZAR
268,8.576,-0.1434,0.2415,-78.08,GIRANDO
269,8.608,-0.1435,0.2415,-78.23,AVANZAR
270,8.64,-0.1429,0.239,-78.23,AVANZAR
271,8.672,-0.1424,0.2365,-78.23,GIRANDO
272,8.704,-0.1424,0.2365,-78.51,AVANZAR
273,8.736,-0.1419,0.234,-78.37,AVANZAR
274,8.768,-0.1414,0.2315,-78.37,GIRANDO
275,8.8,-0.1414,0.2315,-78.65,AVANZAR
276,8.832,-0.1409,0.229,-78.65,AVANZAR
277,8.864,-0.1404,0.2265,-78.65,AVANZAR
278,8.896,-0.1399,0.2239,-78.65,AVANZAR
279,8.928,-0.1394,0.2215,-78.51,GIRANDO
280,8.96,-0.1394,0.2215,-78.79,AVANZAR
281,8.992,-0.1389,0.219,-78.79,AVANZAR
282,9.024,-0.1384,0.2164,-78.79,GIRANDO
283,9.056,-0.1384,0.2165,-78.94,AVANZAR
284,9.088,-0.1379,0.214,-78.94,AVANZAR
285,9.12,-0.1374,0.2114,-78.94,GIRANDO
286,9.152,-0.1374,0.2114,-79.22,AVANZAR
287,9.184,-0.1369,0.2089,-79.22,AVANZAR
288,9.216,-0.1364,0.2064,-79.22,AVANZAR
289,9.248,-0.136,0.2039,-79.08,GIRANDO
290,9.28,-0.136,0.2039,-79.36,AVANZAR
291,9.312,-0.1355,0.2014,-79.36,AVANZAR
292,9.344,-0.135,0.1989,-79.36,GIRANDO
293,9.376,-0.135,0.1989,-79.64,AVANZAR
294,9.408,-0.1345,0.1964,-79.5,GIRANDO
295,9.44,-0.1345,0.1964,-79.79,AVANZAR
296,9.472,-0.1341,0.1938,-79.79,AVANZAR
297,9.504,-0.1336,0.1913,-79.79,AVANZAR
298,9.536,-0.1332,0.1888,-79.79,GIRANDO
299,9.568,-0.1332,0.1888,-79.93,AVANZAR
300,9.6,-0.1327,0.1863,-79.93,GIRANDO
301,9.632,-0.1327,0.1862,-80.07,AVANZAR
302,9.664,-0.1323,0.1838,-80.21,AVANZAR
303,9.696,-0.1319,0.1812,-80.21,AVANZAR
304,9.728,-0.1314,0.1788,-80.07,GIRANDO
305,9.76,-0.1314,0.1788,-80.35,AVANZAR
306,9.792,-0.131,0.1762,-80.35,GIRANDO
307,9.824,-0.131,0.1762,-80.5,AVANZAR
308,9.856,-0.1306,0.1737,-80.35,GIRANDO
309,9.888,-0.1306,0.1737,-80.64,GIRANDO
310,9.92,-0.1306,0.1737,-81.21,GIRANDO
311,9.952,-0.1306,0.1737,-81.77,GIRANDO
312,9.984,-0.1306,0.1737,-82.06,GIRANDO
313,10.016,-0.1306,0.1737,-82.62,GIRANDO
314,10.048,-0.1306,0.1737,-82.91,GIRANDO
315,10.08,-0.1306,0.1737,-83.47,GIRANDO
316,10.112,-0.1306,0.1737,-83.76,GIRANDO
317,10.144,-0.1306,0.1737,-84.04,GIRANDO
318,10.176,-0.1306,0.1737,-84.33,GIRANDO
319,10.208,-0.1306,0.1737,-84.61,GIRANDO
320,10.24,-0.1306,0.1737,-84.89,GIRANDO
321,10.272,-0.1306,0.1737,-85.18,GIRANDO
322,10.304,-0.1306,0.1737,-85.46,GIRANDO
323,10.336,-0.1306,0.1737,-85.74,GIRANDO
324,10.368,-0.1306,0.1737,-85.89,GIRANDO
325,10.4,-0.1306,0.1737,-86.03,GIRANDO
326,10.432,-0.1306,0.1737,-86.31,AVANZAR
327,10.464,-0.1304,0.1711,-86.31,AVANZAR
328,10.496,-0.1302,0.1685,-86.31,AVANZAR
329,10.528,-0.1301,0.166,-86.17,AVANZAR
330,10.56,-0.1299,0.1635,-86.17,AVANZAR
331,10.592,-0.1297,0.161,-86.31,AVANZAR
332,10.624,-0.1296,0.1584,-86.31,AVANZAR
333,10.656,-0.1294,0.1558,-86.31,AVANZAR
334,10.688,-0.1292,0.1533,-86.31,AVANZAR
335,10.72,-0.1291,0.1507,-86.31,AVANZAR
336,10.752,-0.1289,0.1482,-86.17,GIRANDO
337,10.784,-0.1289,0.1482,-86.45,AVANZAR
338,10.816,-0.1288,0.1456,-86.45,AVANZAR
339,10.848,-0.1286,0.143,-86.45,AVANZAR
340,10.88,-0.1284,0.1405,-86.45,AVANZAR
341,10.912,-0.1283,0.138,-86.6,AVANZAR
342,10.944,-0.1281,0.1355,-86.45,AVANZAR
343,10.976,-0.128,0.1329,-86.45,GIRANDO
344,11.008,-0.128,0.1328,-86.6,AVANZAR
345,11.04,-0.1278,0.1303,-86.74,AVANZAR
346,11.072,-0.1277,0.1278,-86.74,AVANZAR
347,11.104,-0.1275,0.1252,-86.6,AVANZAR
348,11.136,-0.1274,0.1227,-86.6,AVANZAR
349,11.168,-0.1272,0.1201,-86.6,GIRANDO
350,11.2,-0.1272,0.1201,-86.88,AVANZAR
351,11.232,-0.1271,0.1175,-86.88,AVANZAR
352,11.264,-0.1269,0.115,-86.88,AVANZAR
353,11.296,-0.1268,0.1125,-86.74,AVANZAR
354,11.328,-0.1267,0.1099,-86.74,AVANZAR
355,11.36,-0.1265,0.1074,-86.88,AVANZAR
356,11.392,-0.1264,0.1048,-86.88,AVANZAR
357,11.424,-0.1262,0.1022,-86.88,AVANZAR
358,11.456,-0.1261,0.0997,-86.88,AVANZAR
359,11.488,-0.126,0.0971,-86.88,GIRANDO
360,11.52,-0.126,0.0972,-87.02,AVANZAR
361,11.552,-0.1258,0.0946,-87.02,AVANZAR
362,11.584,-0.1257,0.092,-87.02,AVANZAR
363,11.616,-0.1256,0.0894,-87.02,AVANZAR
364,11.648,-0.1254,0.0869,-87.02,GIRANDO
365,11.68,-0.1254,0.0869,-87.16,AVANZAR
366,11.712,-0.1253,0.0844,-87.16,AVANZAR
367,11.744,-0.1252,0.0818,-87.16,AVANZAR
368,11.776,-0.125,0.0792,-87.16,AVANZAR
369,11.808,-0.1249,0.0767,-87.16,AVANZAR
370,11.84,-0.1248,0.0741,-87.3,AVANZAR
371,11.872,-0.1247,0.0716,-87.16,GIRANDO
372,11.904,-0.1247,0.0716,-87.3,AVANZAR
373,11.936,-0.1246,0.0691,-87.45,AVANZAR
374,11.968,-0.1244,0.0665,-87.45,AVANZAR
375,12.0,-0.1243,0.0639,-87.45,AVANZAR
376,12.032,-0.1242,0.0613,-87.45,AVANZAR
377,12.064,-0.1241,0.0588,-87.3,GIRANDO
378,12.096,-0.1241,0.0588,-87.59,AVANZAR
379,12.128,-0.124,0.0563,-87.59,AVANZAR
380,12.16,-0.1239,0.0537,-87.59,AVANZAR
381,12.192,-0.1238,0.0511,-87.59,AVANZAR
382,12.224,-0.1237,0.0485,-87.59,AVANZAR
383,12.256,-0.1236,0.0461,-87.59,GIRANDO
384,12.288,-0.1236,0.046,-87.73,AVANZAR
385,12.32,-0.1235,0.0435,-87.73,AVANZAR
386,12.352,-0.1234,0.0409,-87.73,AVANZAR
387,12.384,-0.1233,0.0384,-87.87,AVANZAR
388,12.416,-0.1232,0.0358,-87.87,AVANZAR
389,12.448,-0.1231,0.0333,-87.73,GIRANDO
390,12.48,-0.1231,0.0333,-88.01,AVANZAR
391,12.512,-0.123,0.0307,-88.01,AVANZAR
392,12.544,-0.1229,0.0282,-88.01,AVANZAR
393,12.576,-0.1228,0.0256,-88.01,AVANZAR
394,12.608,-0.1227,0.0231,-87.87,GIRANDO
395,12.64,-0.1227,0.0231,-88.16,AVANZAR
396,12.672,-0.1226,0.0205,-88.16,AVANZAR
397,12.704,-0.1225,0.0179,-88.16,AVANZAR
398,12.736,-0.1225,0.0154,-88.16,GIRANDO
399,12.768,-0.1225,0.0154,-88.3,AVANZAR
400,12.8,-0.1224,0.0128,-88.3,AVANZAR
401,12.832,-0.1223,0.0103,-88.3,AVANZAR
402,12.864,-0.1222,0.0077,-88.3,GIRANDO
403,12.896,-0.1222,0.0077,-88.58,AVANZAR
404,12.928,-0.1222,0.0051,-88.58,AVANZAR
405,12.96,-0.1221,0.0026,-88.44,AVANZAR
406,12.992,-0.122,0.0,-88.44,GIRANDO
407,13.024,-0.122,0.0,-88.72,AVANZAR
408,13.056,-0.122,-0.0025,-88.72,AVANZAR
409,13.088,-0.1219,-0.0051,-88.72,AVANZAR
410,13.12,-0.1219,-0.0076,-88.58,GIRANDO
411,13.152,-0.1219,-0.0076,-88.87,AVANZAR
