step,time_s,x_robot,y_robot,angulo_grados,action
179,5.728,-0.1527,0.2366,-75.18,AVANZAR
180,5.76,-0.152,0.2341,-75.18,AVANZAR
181,5.792,-0.1514,0.2316,-75.18,AVANZAR
182,5.824,-0.1507,0.2292,-75.04,AVANZAR
183,5.856,-0.1501,0.2267,-75.04,AVANZAR
184,5.888,-0.1494,0.2243,-75.18,AVANZAR
185,5.92,-0.1488,0.2218,-75.18,AVANZAR
186,5.952,-0.1481,0.2193,-75.18,AVANZAR
187,5.984,-0.1475,0.2168,-75.18,AVANZAR
188,6.016,-0.1468,0.2143,-75.18,AVANZAR
189,6.048,-0.1461,0.2119,-75.04,GIRANDO
190,6.08,-0.1461,0.2119,-75.32,AVANZAR
191,6.112,-0.1455,0.2094,-75.32,AVANZAR
192,6.144,-0.1448,0.2069,-75.32,AVANZAR
193,6.176,-0.1442,0.2045,-75.18,GIRANDO
194,6.208,-0.1442,0.2045,-75.46,AVANZAR
195,6.24,-0.1436,0.202,-75.46,AVANZAR
196,6.272,-0.1429,0.1995,-75.46,AVANZAR
197,6.304,-0.1423,0.1971,-75.32,GIRANDO
198,6.336,-0.1423,0.197,-75.46,AVANZAR
199,6.368,-0.1416,0.1946,-75.61,AVANZAR
200,6.4,-0.141,0.1921,-75.61,AVANZAR
201,6.432,-0.1404,0.1897,-75.46,GIRANDO
202,6.464,-0.1404,0.1897,-76.6,GIRANDO
203,6.496,-0.1404,0.1896,-77.59,GIRANDO
204,6.528,-0.1404,0.1897,-78.59,GIRANDO
205,6.56,-0.1404,0.1897,-79.44,GIRANDO
206,6.592,-0.1404,0.1896,-80.15,GIRANDO
207,6.624,-0.1404,0.1897,-80.86,GIRANDO
208,6.656,-0.1404,0.1897,-81.42,GIRANDO
209,6.688,-0.1404,0.1897,-81.99,GIRANDO
210,6.72,-0.1404,0.1896,-82.42,GIRANDO
211,6.752,-0.1404,0.1896,-82.98,GIRANDO
212,6.784,-0.1404,0.1896,-83.27,GIRANDO
213,6.816,-0.1404,0.1897,-83.69,GIRANDO
214,6.848,-0.1404,0.1896,-84.12,GIRANDO
215,6.88,-0.1404,0.1896,-84.4,GIRANDO
216,6.912,-0.1404,0.1896,-84.69,GIRANDO
217,6.944,-0.1404,0.1897,-84.83,GIRANDO
218,6.976,-0.1404,0.1897,-85.11,GIRANDO
219,7.008,-0.1404,0.1896,-85.25,GIRANDO
220,7.04,-0.1404,0.1896,-85.54,GIRANDO
221,7.072,-0.1404,0.1897,-85.68,GIRANDO
222,7.104,-0.1404,0.1896,-85.82,GIRANDO
223,7.136,-0.1404,0.1897,-85.96,GIRANDO
224,7.168,-0.1404,0.1896,-86.1,AVANZAR
225,7.2,-0.1402,0.1871,-85.96,GIRANDO
226,7.232,-0.1402,0.1871,-86.25,AVANZAR
227,7.264,-0.14,0.1845,-86.25,AVANZAR
228,7.296,-0.1398,0.182,-86.25,AVANZAR
229,7.328,-0.1397,0.1795,-86.1,AVANZAR
230,7.36,-0.1395,0.1769,-86.1,AVANZAR
231,7.392,-0.1393,0.1743,-86.1,GIRANDO
232,7.424,-0.1393,0.1743,-86.39,AVANZAR
233,7.456,-0.1392,0.1718,-86.25,AVANZAR
234,7.488,-0.139,0.1692,-86.25,AVANZAR
235,7.52,-0.1388,0.1667,-86.25,AVANZAR
236,7.552,-0.1387,0.1641,-86.25,AVANZAR
237,7.584,-0.1385,0.1615,-86.25,AVANZAR
238,7.616,-0.1383,0.159,-86.39,AVANZAR
239,7.648,-0.1382,0.1565,-86.39,AVANZAR
240,7.68,-0.138,0.154,-86.25,AVANZAR
241,7.712,-0.1378,0.1514,-86.25,AVANZAR
242,7.744,-0.1377,0.1488,-86.25,AVANZAR
243,7.776,-0.1375,0.1463,-86.25,AVANZAR
244,7.808,-0.1373,0.1437,-86.25,AVANZAR
245,7.84,-0.1372,0.1411,-86.25,AVANZAR
246,7.872,-0.137,0.1386,-86.39,AVANZAR
247,7.904,-0.1368,0.1361,-86.25,GIRANDO
248,7.936,-0.1368,0.136,-86.39,AVANZAR
249,7.968,-0.1367,0.1335,-86.39,AVANZAR
250,8.0,-0.1365,0.1309,-86.39,AVANZAR
251,8.032,-0.1364,0.1285,-86.39,AVANZAR
252,8.064,-0.1362,0.1259,-86.39,AVANZAR
253,8.096,-0.136,0.1233,-86.39,AVANZAR
254,8.128,-0.1359,0.1208,-86.39,AVANZAR
255,8.16,-0.1357,0.1182,-86.39,AVANZAR
256,8.192,-0.1355,0.1156,-86.39,AVANZAR
257,8.224,-0.1354,0.113,-86.39,AVANZAR
258,8.256,-0.1352,0.1106,-86.39,AVANZAR
259,8.288,-0.1351,0.108,-86.39,AVANZAR
260,8.32,-0.1349,0.1055,-86.39,GIRANDO
261,8.352,-0.1349,0.1054,-86.53,AVANZAR
262,8.384,-0.1347,0.1029,-86.39,GIRANDO
263,8.416,-0.1347,0.1029,-86.67,AVANZAR
264,8.448,-0.1346,0.1003,-86.67,AVANZAR
265,8.48,-0.1345,0.0978,-86.67,AVANZAR
266,8.512,-0.1343,0.0952,-86.53,AVANZAR
267,8.544,-0.1341,0.0927,-86.53,AVANZAR
268,8.576,-0.134,0.0901,-86.53,AVANZAR
269,8.608,-0.1338,0.0876,-86.67,AVANZAR
270,8.64,-0.1337,0.085,-86.67,AVANZAR
271,8.672,-0.1335,0.0825,-86.67,AVANZAR
272,8.704,-0.1334,0.0799,-86.67,AVANZAR
273,8.736,-0.1332,0.0774,-86.53,AVANZAR
274,8.768,-0.1331,0.0748,-86.53,GIRANDO
275,8.8,-0.1331,0.0748,-86.81,AVANZAR
276,8.832,-0.1329,0.0722,-86.81,AVANZAR
277,8.864,-0.1328,0.0697,-86.67,AVANZAR
278,8.896,-0.1327,0.0672,-86.67,AVANZAR
279,8.928,-0.1325,0.0646,-86.67,AVANZAR
280,8.96,-0.1324,0.062,-86.67,AVANZAR
281,8.992,-0.1322,0.0595,-86.81,AVANZAR
282,9.024,-0.1321,0.0569,-86.81,AVANZAR
283,9.056,-0.1319,0.0544,-86.81,AVANZAR
284,9.088,-0.1318,0.0519,-86.67,AVANZAR
