step,time_s,x_robot,y_robot,angulo_grados,sensor_crudo,kalman,action
117,3.744,-0.2232,0.3622,-35.39,0.7309,0.7604,GIRANDO
118,3.776,-0.2232,0.3622,-37.37,0.7603,0.7591,GIRANDO
119,3.808,-0.2232,0.3621,-39.5,0.7573,0.7583,GIRANDO
120,3.84,-0.2232,0.3622,-41.35,0.7532,0.7576,GIRANDO
121,3.872,-0.2232,0.3621,-42.91,0.7102,0.755,GIRANDO
122,3.904,-0.2232,0.3622,-44.47,0.7033,0.7513,GIRANDO
123,3.936,-0.2232,0.3622,-45.88,0.7783,0.7503,GIRANDO
124,3.968,-0.2232,0.3622,-47.3,0.7886,0.7513,GIRANDO
125,4.0,-0.2232,0.3622,-48.72,0.7778,0.7531,GIRANDO
126,4.032,-0.2232,0.3622,-49.86,0.7402,0.7536,GIRANDO
127,4.064,-0.2232,0.3622,-50.99,0.726,0.7527,GIRANDO
128,4.096,-0.2232,0.3622,-52.13,0.7636,0.7526,GIRANDO
129,4.128,-0.2232,0.3622,-52.98,0.77,0.7533,GIRANDO
130,4.16,-0.2232,0.3621,-53.97,0.7477,0.7535,GIRANDO
131,4.192,-0.2232,0.3621,-54.82,0.7524,0.7535,GIRANDO
132,4.224,-0.2232,0.3622,-55.53,0.7881,0.7551,GIRANDO
133,4.256,-0.2232,0.3622,-56.38,0.7162,0.7544,GIRANDO
134,4.288,-0.2232,0.3621,-57.09,0.7539,0.7538,GIRANDO
135,4.32,-0.2232,0.3622,-57.8,0.6964,0.7511,GIRANDO
136,4.352,-0.2232,0.3622,-58.37,0.7977,0.7514,GIRANDO
137,4.384,-0.2232,0.3622,-58.93,0.7054,0.7496,AVANZAR
138,4.416,-0.2219,0.36,-58.93,0.784,0.7479,GIRANDO
139,4.448,-0.2219,0.36,-59.5,0.7401,0.748,AVANZAR
140,4.48,-0.2206,0.3577,-59.5,0.8198,0.749,AVANZAR
141,4.512,-0.2193,0.3555,-59.5,0.757,0.7493,AVANZAR
142,4.544,-0.218,0.3533,-59.64,0.7654,0.7496,AVANZAR
143,4.576,-0.2167,0.3511,-59.64,0.7678,0.7499,AVANZAR
144,4.608,-0.2154,0.349,-59.5,0.7488,0.7494,AVANZAR
145,4.64,-0.2141,0.3467,-59.5,0.7253,0.7473,GIRANDO
146,4.672,-0.2141,0.3467,-60.07,0.7994,0.7499,AVANZAR
147,4.704,-0.2128,0.3445,-60.07,0.7666,0.75,AVANZAR
148,4.736,-0.2116,0.3423,-60.07,0.757,0.7497,AVANZAR
149,4.768,-0.2103,0.3401,-60.07,0.7179,0.7475,AVANZAR
150,4.8,-0.209,0.3378,-60.07,0.6651,0.7419,AVANZAR
